;ug;loc;depA;tei;tef;tem
506;Rio Grande do Sul;Rural;Federal;;;8,5
507;Rio Grande do Sul;Total;Estadual;4,7;4,6;5,5
508;Rio Grande do Sul;Urbana;Estadual;6,0;4,6;5,5
509;Rio Grande do Sul;Rural;Estadual;4,2;4,5;6,3
510;Rio Grande do Sul;Total;Municipal;7,2;4,6;5,1
511;Rio Grande do Sul;Urbana;Municipal;7,3;4,5;5,1
512;Rio Grande do Sul;Rural;Municipal;5,7;4,8;5,3
513;Rio Grande do Sul;Total;Privada;8,9;4,6;5,8
514;Rio Grande do Sul;Urbana;Privada;8,9;4,6;5,7
515;Rio Grande do Sul;Rural;Privada;8,6;4,4;8,4
516;Rio Grande do Sul;Total;Pública;7,2;4,6;5,6
517;Rio Grande do Sul;Urbana;Pública;7,3;4,6;5,5
518;Rio Grande do Sul;Rural;Pública;5,6;4,7;6,9
519;Mato Grosso do Sul;Total;Total;6,0;4,9;5,9
520;Mato Grosso do Sul;Urbana;Total;6,1;4,9;5,9
521;Mato Grosso do Sul;Rural;Total;4,8;5,0;5,9
522;Mato Grosso do Sul;Total;Federal;;5,0;5,3
523;Mato Grosso do Sul;Urbana;Federal;;5,0;5,3
524;Mato Grosso do Sul;Rural;Federal;;;4,8
525;Mato Grosso do Sul;Total;Estadual;10,0;5,7;5,8
526;Mato Grosso do Sul;Urbana;Estadual;10,0;5,7;5,8
527;Mato Grosso do Sul;Rural;Estadual;;4,9;5,7
528;Mato Grosso do Sul;Total;Municipal;6,1;4,7;8,5
529;Mato Grosso do Sul;Urbana;Municipal;6,2;4,6;
530;Mato Grosso do Sul;Rural;Municipal;4,8;5,0;8,5
531;Mato Grosso do Sul;Total;Privada;5,4;4,8;6,8
532;Mato Grosso do Sul;Urbana;Privada;5,4;4,7;6,7
533;Mato Grosso do Sul;Rural;Privada;5,4;9,9;9,4
534;Mato Grosso do Sul;Total;Pública;6,1;4,9;5,8
535;Mato Grosso do Sul;Urbana;Pública;6,2;4,9;5,8
536;Mato Grosso do Sul;Rural;Pública;4,8;5,0;5,7
537;Mato Grosso;Total;Total;5,3;4,5;5,1
538;Mato Grosso;Urbana;Total;5,3;4,5;5,0
539;Mato Grosso;Rural;Total;4,6;4,6;5,8
540;Mato Grosso;Total;Federal;;;8,0
541;Mato Grosso;Urbana;Federal;;;7,5
542;Mato Grosso;Rural;Federal;;;9,4
543;Mato Grosso;Total;Estadual;;4,5;4,8
544;Mato Grosso;Urbana;Estadual;;4,5;4,8
545;Mato Grosso;Rural;Estadual;;4,4;4,9
546;Mato Grosso;Total;Municipal;5,3;4,5;
547;Mato Grosso;Urbana;Municipal;5,3;4,5;
548;Mato Grosso;Rural;Municipal;4,6;4,7;
549;Mato Grosso;Total;Privada;5,3;4,6;5,6
550;Mato Grosso;Urbana;Privada;5,3;4,6;5,7
551;Mato Grosso;Rural;Privada;4,4;4,5;4,4
552;Mato Grosso;Total;Pública;5,3;4,5;5,0
553;Mato Grosso;Urbana;Pública;5,3;4,5;4,9
554;Mato Grosso;Rural;Pública;4,6;4,6;5,8
555;Goiás;Total;Total;6,2;5,0;5,7
556;Goiás;Urbana;Total;6,3;5,0;5,7
557;Goiás;Rural;Total;4,8;4,8;6,6
558;Goiás;Total;Federal;7,3;5,5;9,6
559;Goiás;Urbana;Federal;7,3;5,5;9,2
560;Goiás;Rural;Federal;;;10,8
561;Goiás;Total;Estadual;10,3;5,5;5,6
562;Goiás;Urbana;Estadual;10,3;5,5;5,6
563;Goiás;Rural;Estadual;;4,6;4,6
564;Goiás;Total;Municipal;6,5;4,9;5,9
565;Goiás;Urbana;Municipal;6,5;4,9;6,1
566;Goiás;Rural;Municipal;4,7;4,8;4,1
567;Goiás;Total;Privada;5,5;4,6;5,5
568;Goiás;Urbana;Privada;5,5;4,6;5,5
569;Goiás;Rural;Privada;6,3;4,7;7,2
570;Goiás;Total;Pública;6,5;5,1;5,7
571;Goiás;Urbana;Pública;6,5;5,1;5,7
572;Goiás;Rural;Pública;4,7;4,8;6,5
573;Distrito Federal;Total;Total;6,5;5,3;5,4
574;Distrito Federal;Urbana;Total;6,5;5,3;5,4
575;Distrito Federal;Rural;Total;5,9;5,9;5,9
576;Distrito Federal;Total;Federal;;5,0;6,2
577;Distrito Federal;Urbana;Federal;;5,0;5,8
578;Distrito Federal;Rural;Federal;;;8,5
579;Distrito Federal;Total;Estadual;5,2;5,4;5,2
580;Distrito Federal;Urbana;Estadual;5,1;5,4;5,2
581;Distrito Federal;Rural;Estadual;5,7;5,8;5,2
582;Distrito Federal;Total;Privada;7,4;5,1;5,8
583;Distrito Federal;Urbana;Privada;7,4;5,0;5,8
584;Distrito Federal;Rural;Privada;7,5;7,5;5,8
585;Distrito Federal;Total;Pública;5,2;5,4;5,3
586;Distrito Federal;Urbana;Pública;5,1;5,4;5,2
587;Distrito Federal;Rural;Pública;5,7;5,8;5,9
588;;;;;;
589;;;;;;
590;;;;;;
